n,direct,fft,absolute_error
4,-0.4804530139182014,-0.48045301384991035,6.829103949002047e-11
5,-1.523000020837618,-1.5230000208370829,5.351274978693255e-13
6,-1.206948960812582,-1.2069489607820287,3.055333763768431e-11
10,-5.236507632628723,-5.236507632769644,1.4092105260488097e-10
20,-9.977907510284552,-9.977907510474324,1.8977175386680756e-10
500000,11844.311768254374,11844.311768254294,8.003553375601768e-11
1000000,-2683.3440496143917,-2683.344049614454,6.230038707144558e-11
