zero_height,zero_index,ordinate,theoretical_real,theoretical_imag,estimated_real,estimated_imag,amplitude_ratio,phase_error
50.0,1,14.134725141734695,-4.035389225341139e-05,-2.5236862055533447e-05,-0.00011278280697016358,1.3469880654131612e-05,2.3864487415730653,-0.6777476618374528
50.0,2,21.022039638771556,-9.295251394442598e-06,-3.694961889343257e-06,-5.695787112719449e-05,3.1292267199271665e-05,6.497004710693555,-0.8807358083965264
50.0,3,25.01085758014569,-4.773762833091159e-06,-1.5743111336016026e-06,-5.6000632020696316e-05,4.561069898623643e-06,11.177624045363105,-0.3998202372777942
50.0,4,30.424876125859512,-2.2289915578986223e-06,-5.982464370635241e-07,-4.2219005263779094e-05,-1.2916350288887307e-05,19.13039002412858,0.03468080914874916
50.0,5,32.93506158773919,-1.6342998998549806e-06,-4.0397350634381517e-07,-9.681654373220687e-06,-3.89484703819032e-05,23.839645018414096,1.0848313876104396
50.0,6,37.586178158825675,-9.723525694595145e-07,-2.097481754240681e-07,-8.408473873732246e-06,2.75704391755047e-05,28.977207536775428,-1.487232297893373
50.0,7,40.9187190121475,-6.955014342779853e-07,-1.3751937912059822e-07,2.618786976292492e-05,-2.6428327812864146e-05,52.4787088491551,2.156415498466359
50.0,8,43.327073280915,-5.548100678676334e-07,-1.0347612542998013e-07,2.3308141595690845e-05,1.1672530736285454e-05,46.18818679451295,-2.8617004371836425
50.0,9,48.00515088116716,-3.6970789481658685e-07,-6.211730134643286e-08,4.421288496303996e-07,-2.5017315667395846e-05,66.7428431893672,1.4220049368830041
50.0,10,49.7738324776723,-3.203068940948939e-07,-5.18749607845204e-08,-2.3996084114213575e-05,8.931194566063932e-06,78.90850901241485,-0.5168680425206802
100.0,1,14.134725141734695,-4.035389225341139e-05,-2.5236862055533447e-05,-0.00017102597815901564,0.000136217478678739,4.593785984316651,-1.2314649600324572
100.0,2,21.022039638771556,-9.295251394442598e-06,-3.694961889343257e-06,0.0001171999118936588,-9.933169718588479e-05,15.358959180418795,2.0601694759081406
100.0,3,25.01085758014569,-4.773762833091159e-06,-1.5743111336016026e-06,-0.0001338524054888151,-0.00012864817205683761,36.93358487289,0.4470222920696809
100.0,4,30.424876125859512,-2.2289915578986223e-06,-5.982464370635241e-07,-0.00011113111037525233,-5.842901074812356e-05,54.402808230500526,0.22183394901381792
100.0,5,32.93506158773919,-1.6342998998549806e-06,-4.0397350634381517e-07,-0.00013726781464765917,-0.00015020278618873336,120.8669864411694,0.5880366659877065
100.0,6,37.586178158825675,-9.723525694595145e-07,-2.097481754240681e-07,0.00026223070575232834,-0.00021966411845363476,343.89433252058376,2.2318408611739944
100.0,7,40.9187190121475,-6.955014342779853e-07,-1.3751937912059822e-07,-0.0001031648931120575,-9.370199004568982e-06,146.1134212113651,-0.10463011980143655
100.0,8,43.327073280915,-5.548100678676334e-07,-1.0347612542998013e-07,-6.0985062031992335e-05,-5.3257549509413363e-05,143.46137562454035,0.5334710081574903
100.0,9,48.00515088116716,-3.6970789481658685e-07,-6.211730134643286e-08,-0.00023665896852232305,-2.7434240775531683e-05,635.503253477279,-0.05105448323057438
100.0,10,49.7738324776723,-3.203068940948939e-07,-5.18749607845204e-08,0.000188163521141614,0.00014856593478553272,738.8561892246421,-2.6338113910892624
