zero_height,zero_index,ordinate,theoretical_real,theoretical_imag,estimated_real,estimated_imag,amplitude_ratio,phase_error
50.0,1,14.134725141734695,-4.035389225341139e-05,-2.5236862055533447e-05,-4.015615828605313e-05,-2.3105031222202232e-05,0.9733856454377962,-0.03675921631913592
50.0,2,21.022039638771556,-9.295251394442598e-06,-3.694961889343257e-06,-1.0136960851214758e-05,-4.691441524996876e-06,1.116690243769257,0.055093240961713086
50.0,3,25.01085758014569,-4.773762833091159e-06,-1.5743111336016026e-06,-4.927533049939018e-06,-4.069919773376046e-07,0.983618665134282,-0.23614443409647734
50.0,4,30.424876125859512,-2.2289915578986223e-06,-5.982464370635241e-07,-2.7134702382062912e-06,3.4078355233204896e-07,1.1849784132773642,-0.38714916445092334
50.0,5,32.93506158773919,-1.6342998998549806e-06,-4.0397350634381517e-07,-2.3737715057324153e-06,-8.153569440853293e-07,1.4908930161414296,0.08853285560168134
50.0,6,37.586178158825675,-9.723525694595145e-07,-2.097481754240681e-07,-1.608868792083801e-06,1.617027509846847e-08,1.6174937208053528,-0.22250703174803846
50.0,7,40.9187190121475,-6.955014342779853e-07,-1.3751937912059822e-07,-3.1132384237724007e-07,-8.026477307008092e-07,1.2143164088694205,1.0055804586723898
50.0,8,43.327073280915,-5.548100678676334e-07,-1.0347612542998013e-07,-2.3297848794822237e-07,5.307831048491913e-07,1.027085279781543,-1.3415721037416983
50.0,9,48.00515088116716,-3.6970789481658685e-07,-6.211730134643286e-08,6.115003119015405e-08,3.65264209738115e-08,0.18999853905510783,-2.7696051081113096
50.0,10,49.7738324776723,-3.203068940948939e-07,-5.18749607845204e-08,7.630241741863602e-08,3.0837035999543373e-07,0.9790119513706387,-1.973921694484621
100.0,1,14.134725141734695,-4.035389225341139e-05,-2.5236862055533447e-05,-4.009997066773335e-05,-2.312367136936265e-05,0.9725581699414539,-0.03580482117692396
100.0,2,21.022039638771556,-9.295251394442598e-06,-3.694961889343257e-06,-1.018636258492744e-05,-4.647734389340996e-06,1.1193534054918695,0.049697444259819264
100.0,3,25.01085758014569,-4.773762833091159e-06,-1.5743111336016026e-06,-4.861690687683206e-06,-3.975735715132801e-07,0.970410563044769,-0.23695761215678957
100.0,4,30.424876125859512,-2.2289915578986223e-06,-5.982464370635241e-07,-2.652976402511111e-06,3.69541386596758e-07,1.1606288190204428,-0.4006163078301539
100.0,5,32.93506158773919,-1.6342998998549806e-06,-4.0397350634381517e-07,-2.397601056310436e-06,-7.569463967972732e-07,1.4934775888165646,0.06347954022288471
100.0,6,37.586178158825675,-9.723525694595145e-07,-2.097481754240681e-07,-1.5882917391797547e-06,7.794851867807217e-08,1.5986474493202258,-0.26149426749285376
100.0,7,40.9187190121475,-6.955014342779853e-07,-1.3751937912059822e-07,-3.967693893801134e-07,-8.197750438506218e-07,1.2846094169662328,0.9248231794943833
100.0,8,43.327073280915,-5.548100678676334e-07,-1.0347612542998013e-07,-1.5165253592956662e-07,4.772779495882295e-07,0.8873359644829909,-1.4475293224762498
100.0,9,48.00515088116716,-3.6970789481658685e-07,-6.211730134643286e-08,5.383070908763497e-08,-7.471602489129804e-08,0.24564050933286669,2.028666864934666
100.0,10,49.7738324776723,-3.203068940948939e-07,-5.18749607845204e-08,1.297797993982345e-07,1.8725421739734602e-07,0.7021408852390144,-2.337414229913059
100.0,11,52.970321477714464,-2.5021551783144523e-07,-3.804398603876685e-08,-7.754865057082781e-07,-2.395531758758699e-07,3.2069208867521803,0.1487189313653734
100.0,12,56.44624769706339,-1.9439772976604057e-07,-2.7714772570445572e-08,-2.0963374321684737e-07,-4.873767777020818e-07,2.7018740251185225,1.0229783191530384
100.0,13,59.34704400260235,-1.5929003166586247e-07,-2.158734598841847e-08,-5.050476077965261e-07,-1.4574184945545556e-07,3.2700971983422433,0.1462367188953282
100.0,14,60.83177852460981,-1.4438298894736518e-07,-1.9084599324886637e-08,1.7389635599799852e-07,-1.7225692218651127e-07,1.6806649154952171,2.229512050758016
100.0,15,65.1125440480816,-1.1015765538238628e-07,-1.3594587818224226e-08,6.327677136083223e-08,3.700101418732372e-07,3.3820204028935343,-1.8629608946595833
100.0,16,67.07981052949417,-9.784936058713026e-08,-1.1718461112269242e-08,3.052309380444441e-07,1.4634463411815697e-07,3.4348610841924025,-2.8137079038768142
100.0,17,69.54640171117398,-8.474475320156799e-08,-9.786239543797565e-09,-3.4215144252995857e-07,3.1812324168414036e-07,5.476556899076302,-0.8639927470131694
100.0,18,72.0671576744819,-7.354015006039179e-08,-8.193105403553177e-09,-4.91927330644505e-07,-2.1611630017604455e-07,7.2613816310297725,0.30298935376206426
100.0,19,75.70469069908393,-6.04389083809351e-08,-6.407779501918198e-09,-3.9510508630955143e-07,-2.1059320421963952e-07,7.3666046989909795,0.38407591031915583
100.0,20,77.1448400688748,-5.60659881437142e-08,-5.832484167750322e-09,3.057681471880755e-07,-4.154014499112244e-08,5.474275833437393,2.902908211621815
100.0,21,79.33737502024937,-5.014006830403092e-08,-5.070995157508717e-09,-3.6545493491404753e-07,-2.951831235890708e-07,9.321739330010708,0.5786331718445168
100.0,22,82.91038085408603,-4.206376185380419e-08,-4.069825695370389e-09,-1.8545054192298053e-07,-2.307153144356473e-07,7.004446315992619,0.7972849652823419
100.0,23,84.73549298051705,-3.856531013574304e-08,-3.6505426565309012e-09,-1.6501160807764357e-07,-3.185532836705827e-07,9.261128088817633,0.9984726363817065
100.0,24,87.42527461312523,-3.404600224412741e-08,-3.1231018454243585e-09,-1.2282485859206934e-07,-3.1057147921144274e-07,9.768564639549334,1.1027166104240018
100.0,25,88.80911120763446,-3.1978550874123e-08,-2.8875215933524487e-09,6.609396583368722e-08,2.8886391129842575e-07,9.228940181102063,-1.8857823321051363
100.0,26,92.49189927055849,-2.719298429384209e-08,-2.357199524882667e-09,2.1790710741050193e-07,2.827486708149715e-07,13.078379593184147,-2.313866124575138
100.0,27,94.65134404051989,-2.4800584352428113e-08,-2.1005607459103097e-09,1.2084668685350335e-07,-2.986863655134828e-07,12.945567666602914,1.8707603264721826
100.0,28,95.87063422824531,-2.3565613978833818e-08,-1.9704718876696983e-09,-3.2470343131068983e-07,3.5891437265859195e-08,13.814407024316573,-0.19351148823408185
100.0,29,98.83119421819369,-2.0871976382393013e-08,-1.6927553745532474e-09,4.991745814717002e-08,2.7296248916414054e-07,13.251314079430944,-1.832595368730351
143.0,1,14.134725141734695,-4.035389225341139e-05,-2.5236862055533447e-05,-4.007765035772881e-05,-2.3131195249547025e-05,0.9722309561397989,-0.035423010543929045
143.0,2,21.022039638771556,-9.295251394442598e-06,-3.694961889343257e-06,-1.0204293650131076e-05,-4.629901772645737e-06,1.120246746803171,0.047585367111663494
