n,direct,fft,absolute_error
4,0.4804530139182014,0.4804530137917027,1.2649870040348787e-10
5,1.523000020837618,1.5230000206721224,1.6549561721035388e-10
6,2.167854988648985,2.1678549881326035,5.163816041431346e-10
10,7.826798026608958,7.82679802691564,3.0668179107351534e-10
20,22.437148420499195,22.43714842060581,1.0661338478712423e-10
500000,892332.238115009,892332.2381150082,8.149072527885437e-10
1000000,1756567.5367322373,1756567.536732241,3.725290298461914e-09
