frequency,power
0.0,47432414669.50165
0.00010002000400080016,13801547911.733604
0.00020004000800160032,74395128.20554094
0.0003000600120024005,5344569.521403263
0.00040008001600320064,465486.9981828098
0.0005001000200040008,444038.3068934803
0.000600120024004801,73926.94737439779
0.0007001400280056011,17218.337871003972
0.0008001600320064013,90541.91775405203
0.0009001800360072014,48800.26947950488
0.0010002000400080016,69062.51700680188
0.0011002200440088017,4273.520688472733
0.001200240048009602,22456.63623863305
0.001300260052010402,3769.4623013513146
0.0014002800560112022,159107.75146996614
0.0015003000600120023,234639.51191477355
0.0016003200640128026,39075.19587055768
0.0017003400680136026,51073.565795676295
0.0018003600720144029,5169.661945746862
0.001900380076015203,588.0362807110162
0.002000400080016003,5296.269927754298
0.0021004200840168035,3220.3267797953217
0.0022004400880176033,99720.08599302759
0.0023004600920184036,155005.97910296815
0.002400480096019204,46131.98424164121
0.002500500100020004,47253.70523478852
0.002600520104020804,118370.81546326885
0.0027005401080216042,72173.12650100893
0.0028005601120224045,9565.918105344903
0.0029005801160232048,720.7963655952457
0.0030006001200240046,35888.80551104858
0.003100620124024805,45386.0984319965
0.003200640128025605,1890.0545206911897
0.0033006601320264054,43177.64135165021
0.0034006801360272052,13741.139615704931
0.0035007001400280055,119922.03394760746
0.0036007201440288058,38082.43063357096
0.003700740148029606,2903.9686760139784
0.003800760152030406,5198.08251879924
0.003900780156031206,5000.56760165647
0.004000800160032006,8060.872826676499
0.004100820164032806,1159.4393830228548
0.004200840168033607,17105.571257132495
0.004300860172034407,30634.634576146596
0.004400880176035207,12748.297143493646
0.004500900180036007,6100.760428765256
0.004600920184036807,6298.146476213136
0.004700940188037608,34674.76450822295
0.004800960192038408,60624.571046356024
0.0049009801960392075,32334.40007577121
0.005001000200040008,127101.02736665032
0.005101020204040808,39379.31029017712
0.005201040208041608,21611.2929725501
0.005301060212042409,12246.844981640272
0.0054010802160432084,17679.129779410698
0.005501100220044009,31272.92163811714
0.005601120224044809,33752.68877897249
0.005701140228045609,117861.63611289316
0.0058011602320464095,61184.351571768675
0.005901180236047209,6370.846043516629
0.006001200240048009,3811.0788505361356
0.00610122024404881,3655.3869046931823
0.00620124024804961,32479.465681981157
0.00630126025205041,112325.20372340664
0.00640128025605121,31035.09967040003
0.00650130026005201,1346.7682875600183
0.006601320264052811,108.70730731928188
