N,raw_counts,smooth_residual,desingularized_ratio,random_control
4,1.0,-1.7307692307692308,0.48045301391820144,37.627450980392155
6,1.0,-1.740740740740741,0.2675334996307001,38.84313725490196
8,1.0,-1.7857142857142856,0.5405096406579765,-8.176470588235293
10,2.0,-0.896551724137931,0.7952847165717599,21.764705882352942
12,1.0,-1.9,0.25728171075669265,-29.607843137254903
14,2.0,-0.967741935483871,0.8291218558328594,48.45098039215685
16,2.0,-1.0625,0.9609060278364029,-17.98039215686274
18,2.0,-1.0303030303030303,0.46412493882465355,-14.764705882352942
20,2.0,-1.0882352941176472,0.6730808891109723,8.392156862745097
22,3.0,-0.17142857142857126,1.172603059584144,-15.960784313725497
24,3.0,-0.22222222222222232,0.6312516342868281,-33.529411764705884
26,3.0,-0.2702702702702702,1.1227608034783008,-23.66666666666667
28,2.0,-1.3684210526315788,0.6609277915257125,-13.509803921568626
30,3.0,-0.3846153846153846,0.43380538608845637,-42.58823529411765
32,2.0,-1.4249999999999998,0.7507078342471896,-35.803921568627445
34,4.0,0.46341463414634143,1.3715314576732907,35.84313725490196
36,4.0,0.4285714285714284,0.713422665681867,-11.411764705882355
38,2.0,-1.5813953488372094,0.6577326379542697,-22.568627450980387
40,3.0,-0.7045454545454546,0.7654405290178463,-42.39215686274511
42,4.0,0.28888888888888875,0.554371991088831,-16.666666666666664
44,3.0,-0.7391304347826089,0.8787328681983395,47.117647058823536
46,4.0,0.1914893617021276,1.2167130189767168,-15.549019607843135
48,5.0,1.2083333333333335,0.7805311076486603,-32.84313725490196
50,4.0,0.16326530612244916,0.9182354396999439,69.23529411764706
52,3.0,-0.9199999999999999,0.8256519046150053,-47.66666666666666
54,5.0,1.0588235294117645,0.7366663760992729,-25.764705882352942
56,3.0,-1.0392156862745097,0.7233685818796574,-30.803921568627445
58,4.0,-0.17647058823529438,1.0964392387467297,-6.901960784313729
60,6.0,1.7254901960784315,0.6286371522824131,-23.647058823529406
62,3.0,-1.3725490196078427,0.7967159818297166,-38.78431372549019
64,5.0,0.4509803921568629,1.3512741016449412,-8.058823529411764
66,6.0,1.3725490196078427,0.7180857350748209,-14.638888888888886
68,2.0,-2.7058823529411766,0.4909258807180295,-25.07843137254902
70,5.0,0.09803921568627416,0.8057907063266093,-22.549019607843135
72,6.0,1.0588235294117645,0.7620780455641604,-38.50980392156863
74,5.0,0.019607843137254832,1.2169184899190162,19.96078431372549
76,5.0,-0.117647058823529,1.1653482145444052,-7.03921568627451
78,7.0,1.882352941176471,0.7807319490612902,-3.2549019607843146
80,4.0,-1.215686274509804,0.7200809035121739,-1.0392156862745097
82,5.0,-0.33333333333333304,1.1544936073843903,-25.450980392156865
