channel,frequency,period,nearest_rational,candidate_modulus,raw_power,normalized_power,windowed_power,stability_across_ranges
raw_counts,0.00010002000400080016,9998.0,0/1,1,11551842903.834656,1.0,13801547911.733604,pendiente_por_subventanas
raw_counts,0.16663332666533306,6.001200480192077,1/6,6,8538935691.51738,0.1857905627487777,2564197353.325204,candidato_modular
raw_counts,0.16673334666933387,5.997600479904019,1/6,6,3348496314.2111483,0.12302163297865958,1697888961.734677,candidato_modular
raw_counts,0.16653330666133226,6.004804804804805,1/6,6,421659041.90129405,0.021122384603738418,291521603.11856,candidato_modular
raw_counts,0.20004000800160032,4.999,1/5,5,522754881.54134744,0.012467352289101745,172068759.95049936,candidato_modular
raw_counts,0.10002000400080016,9.998,1/10,10,539421602.8414286,0.010611715952199507,146458106.1399893,candidato_modular
raw_counts,0.19993998799759952,5.001500750375188,1/5,5,310683126.6718166,0.00965892853951114,133308165.01407409,candidato_modular
raw_counts,0.00020004000800160032,4999.0,0/1,1,3060583682.122458,0.005390346697437666,74395128.20554094,pendiente_por_subventanas
raw_counts,0.09991998399679936,10.008008008008009,1/10,10,108842233.31493464,0.0053339628269086815,73616943.51498619,candidato_modular
raw_counts,0.16683336667333468,5.994004796163069,1/6,6,397532163.8571669,0.004184753855683554,57756080.838028505,candidato_modular
raw_counts,0.14282856571314262,7.0014005602240905,1/7,7,117640123.55771957,0.0024889150280971825,34350880.00851706,candidato_modular
raw_counts,0.07141428285657131,14.002801120448181,1/14,14,119550171.75234054,0.00236837830636112,32687286.668353487,candidato_modular
smooth_residual,0.16663332666533306,6.001200480192077,1/6,6,8551070332.458277,1.0,2564044578.9676895,candidato_modular
smooth_residual,0.16673334666933387,5.997600479904019,1/6,6,3347072523.22449,0.6622560832147825,1698054120.055238,candidato_modular
smooth_residual,0.16653330666133226,6.004804804804805,1/6,6,423707381.03205866,0.11367653913579452,291471713.92694235,candidato_modular
smooth_residual,0.20004000800160032,4.999,1/5,5,499718607.99730074,0.06450132963595873,165384284.58928794,candidato_modular
smooth_residual,0.10002000400080016,9.998,1/10,10,513449651.6286849,0.054900076372120264,140766243.2068471,candidato_modular
smooth_residual,0.19993998799759952,5.001500750375188,1/5,5,298771961.9491423,0.049973594503717286,128134524.07878584,candidato_modular
smooth_residual,0.09991998399679936,10.008008008008009,1/10,10,106818208.96181795,0.02760155680195651,70771622.08912535,candidato_modular
smooth_residual,0.16683336667333468,5.994004796163069,1/6,6,396635061.18870187,0.022530735273767515,57769809.6388597,candidato_modular
smooth_residual,0.07141428285657131,14.002801120448181,1/14,14,124289579.01406255,0.013664615021719567,35036682.07012051,candidato_modular
smooth_residual,0.14282856571314262,7.0014005602240905,1/7,7,113186289.22898693,0.012749974815861835,32691503.808585104,candidato_modular
smooth_residual,0.21424284856971396,4.667600373482726,3/14,14,90284168.40124804,0.010860582200713082,27847016.916171357,candidato_modular
smooth_residual,0.10012002400480097,9.988011988011987,1/10,10,22701760.422236703,0.008747978278494897,22430206.281901944,candidato_modular
desingularized_ratio,0.00010002000400080016,9998.0,0/1,1,1473.0960726537346,1.0,1117190.7280388207,pendiente_por_subventanas
desingularized_ratio,0.16663332666533306,6.001200480192077,1/6,6,5743.737895862567,0.0010000349467649905,1117.2297702406431,candidato_modular
desingularized_ratio,0.16673334666933387,5.997600479904019,1/6,6,779.2339400962026,0.0005561305182919792,621.3038586152229,candidato_modular
desingularized_ratio,0.10002000400080016,9.998,1/10,10,1149.099882262265,0.00016083622675199154,179.68474126007428,candidato_modular
desingularized_ratio,0.20004000800160032,4.999,1/5,5,263.86771615343184,6.984025687755282e-05,78.02488742745149,candidato_modular
desingularized_ratio,0.03330666133226645,30.024024024024026,1/30,30,364.0036879351696,6.652897167453232e-05,74.32555030074485,pendiente_por_subventanas
desingularized_ratio,0.16653330666133226,6.004804804804805,1/6,6,947.1259363788396,5.721827852281424e-05,63.92373024003086,candidato_modular
desingularized_ratio,0.1333266653330666,7.500375093773443,2/15,15,249.00296779950924,5.419807009576435e-05,60.549581388586006,pendiente_por_subventanas
desingularized_ratio,0.07141428285657131,14.002801120448181,1/14,14,491.32285645720003,4.715434155285886e-05,52.6803931696296,candidato_modular
desingularized_ratio,0.16463292658531706,6.07411907654921,1/6,6,232.24160241957583,4.558521920770122e-05,50.92738423446095,candidato_modular
desingularized_ratio,0.21424284856971396,4.667600373482726,3/14,14,210.78074260468458,4.471527046747481e-05,49.95548556801096,candidato_modular
desingularized_ratio,0.23334666933386677,4.2854693527646806,7/30,30,219.34843186551524,4.436958176279444e-05,49.5692853523543,pendiente_por_subventanas
random_control,0.2483496699339868,4.026580749093838,1/4,4,29951234.17183374,1.0,18280047.177117255,control_randomizado
random_control,0.22374474894978996,4.469378632096558,2/9,9,42130017.22619106,0.8779946923839427,16049784.398037024,control_randomizado
random_control,0.04300860172034407,23.251162790697673,1/23,23,39210348.69547489,0.8378488869695921,15315917.181099327,control_randomizado
random_control,0.022804560912182435,43.85087719298246,1/30,30,14799583.268456914,0.7758248475440458,14182114.814284958,control_randomizado
random_control,0.1273254650930186,7.853888452474471,1/8,8,24399219.672081783,0.7534858448601693,13773756.79133395,control_randomizado
random_control,0.14762952590518102,6.773712737127372,4/27,27,31730105.18065204,0.7472355598547845,13659501.286565084,control_randomizado
random_control,0.008101620324064814,123.43209876543209,0/1,1,24603413.143061608,0.7455696253349577,13629047.924948663,control_randomizado
random_control,0.21164232846569314,4.724952741020794,4/19,19,34115032.62006444,0.7453610010267416,13625234.262752179,control_randomizado
random_control,0.23624724944988998,4.232853513971211,4/17,17,24064947.682744347,0.7334086111295215,13406744.011551695,control_randomizado
random_control,0.2484496899379876,4.024959742351046,1/4,4,19984578.75209453,0.7253115469336183,13258729.296054438,control_randomizado
random_control,0.17103420684136827,5.846783625730994,5/29,29,36507658.513534814,0.7189768112770027,13142930.02939694,control_randomizado
random_control,0.10432086417283457,9.585810162991372,3/29,29,28591324.86760634,0.7060099959889323,12905896.034194047,control_randomizado
