phase_id,run_id,matrix_id,runtime_authorized,runtime_sys_executable,python,platform,python_flint_distribution,flint_version,flint_FLINT_VERSION,arb_independent_version_seal,input_label,input_source,input_block,input_parent,real_midpoint_rational,real_radius_rational,imag_midpoint_rational,imag_radius_rational,precision_bits,input_real_lower,input_real_upper,input_imag_lower,input_imag_upper,input_real_lower_ne_upper,input_imag_lower_ne_upper,output_type,output_finite,output_real_lower,output_real_upper,output_imag_lower,output_imag_upper,output_real_lower_ne_upper,output_imag_lower_ne_upper,ctx_before,ctx_inside,ctx_after,ctx_restored,result
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_C,replay_006E59,CENTER_REFINEMENT,LBOX_P1,1/2,1/4000,7/5,1/8000,96,[0.499749999999494 +/- 3.21e-16],[0.500250000000506 +/- 3.21e-16],[1.39987499999952 +/- 3.03e-16],[1.40012500000048 +/- 1.25e-16],True,True,acb,True,[0.581592380063439 +/- 3.85e-16],[0.596324255262216 +/- 3.30e-16],[0.378202397000112 +/- 4.50e-17],[0.393483808222644 +/- 4.40e-16],True,True,53,96,53,True,PASS
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_C,replay_006E59,CENTER_REFINEMENT,LBOX_P1,1/2,1/4000,7/5,1/8000,128,[0.499749999999494 +/- 3.21e-16],[0.500250000000506 +/- 3.21e-16],[1.39987499999952 +/- 3.03e-16],[1.40012500000048 +/- 1.25e-16],True,True,acb,True,[0.579547223905724 +/- 3.30e-16],[0.598369416149258 +/- 3.51e-16],[0.375844487808600 +/- 3.03e-16],[0.395841724825979 +/- 4.31e-16],True,True,53,128,53,True,PASS
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_CT,replay_006E59,CENTER_TIGHT,LBOX_P1_C,1/2,1/8000,7/5,1/16000,96,[0.499874999999747 +/- 1.61e-16],[0.500125000000253 +/- 1.61e-16],[1.39993749999976 +/- 1.96e-16],[1.40006250000024 +/- 1.79e-17],True,True,acb,True,[0.585276712080970 +/- 4.30e-16],[0.592639857517073 +/- 4.01e-16],[0.382024082245987 +/- 2.27e-16],[0.389662096502359 +/- 5.45e-17],True,True,53,96,53,True,PASS
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_CT,replay_006E59,CENTER_TIGHT,LBOX_P1_C,1/2,1/8000,7/5,1/16000,128,[0.499874999999747 +/- 1.61e-16],[0.500125000000253 +/- 1.61e-16],[1.39993749999976 +/- 1.96e-16],[1.40006250000024 +/- 1.79e-17],True,True,acb,True,[0.584254597848649 +/- 3.63e-16],[0.593661973045691 +/- 4.61e-16],[0.380845528872634 +/- 4.54e-16],[0.390840654034002 +/- 2.26e-17],True,True,53,128,53,True,PASS
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_CUT,replay_006E59,CENTER_ULTRA_TIGHT,LBOX_P1_CT,1/2,1/16000,7/5,1/32000,96,[0.499937499999874 +/- 4.20e-16],[0.500062500000126 +/- 4.20e-16],[1.39996874999988 +/- 1.43e-16],[1.40003125000012 +/- 3.58e-17],True,True,acb,True,[0.587117827419803 +/- 3.40e-16],[0.590798727944872 +/- 3.16e-16],[0.383933906352423 +/- 8.22e-17],[0.387752268335999 +/- 4.62e-16],True,True,53,96,53,True,PASS
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_CUT,replay_006E59,CENTER_ULTRA_TIGHT,LBOX_P1_CT,1/2,1/16000,7/5,1/32000,128,[0.499937499999874 +/- 4.20e-16],[0.500062500000126 +/- 4.20e-16],[1.39996874999988 +/- 1.43e-16],[1.40003125000012 +/- 3.58e-17],True,True,acb,True,[0.586606884094565 +/- 4.83e-16],[0.591309671708061 +/- 1.87e-16],[0.383344728079018 +/- 2.60e-16],[0.388341450570360 +/- 4.17e-17],True,True,53,128,53,True,PASS
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_CMT,replay_006E59,CENTER_MICRO_TIGHT,LBOX_P1_CUT,1/2,1/32000,7/5,1/64000,96,[0.499968749999937 +/- 2.10e-16],[0.500031250000063 +/- 2.10e-16],[1.39998437499994 +/- 1.16e-16],[1.40001562500006 +/- 6.24e-17],True,True,acb,True,[0.588038118286751 +/- 1.01e-16],[0.589878432688967 +/- 1.09e-16],[0.384888559900468 +/- 3.09e-18],[0.386797612482518 +/- 2.61e-16],True,True,53,96,53,True,PASS
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_CMT,replay_006E59,CENTER_MICRO_TIGHT,LBOX_P1_CUT,1/2,1/32000,7/5,1/64000,128,[0.499968749999937 +/- 2.10e-16],[0.500031250000063 +/- 2.10e-16],[1.39998437499994 +/- 1.16e-16],[1.40001562500006 +/- 6.24e-17],True,True,acb,True,[0.587782674592015 +/- 3.87e-16],[0.590133877124752 +/- 1.52e-16],[0.384593994378890 +/- 4.75e-16],[0.387092182027488 +/- 3.15e-16],True,True,53,128,53,True,PASS
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_CNT,replay_006E59,CENTER_NANO_TIGHT,LBOX_P1_CMT,1/2,1/64000,7/5,1/128000,96,[0.499984374999968 +/- 3.96e-16],[0.500015625000032 +/- 3.96e-16],[1.39999218749997 +/- 1.03e-16],[1.40000781250003 +/- 7.57e-17],True,True,acb,True,[0.588498199276423 +/- 4.40e-16],[0.589418351018744 +/- 2.91e-16],[0.385365824093197 +/- 1.93e-16],[0.386320349588414 +/- 1.03e-16],True,True,53,96,53,True,PASS
006E63,006E63-20260627T174026Z,006E63_REPLAY_PLUS_CENTER_ATTO_TIGHT,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,C:\Users\johnn\AppData\Local\Temp\athena-006e20r\Scripts\python.exe,"3.12.13 (main, Mar  3 2026, 15:01:35) [MSC v.1944 64 bit (AMD64)]",Windows-11-10.0.26200-SP0,0.8.0,0.8.0,3.3.1,False,LBOX_P1_CNT,replay_006E59,CENTER_NANO_TIGHT,LBOX_P1_CMT,1/2,1/64000,7/5,1/128000,128,[0.499984374999968 +/- 3.96e-16],[0.500015625000032 +/- 3.96e-16],[1.39999218749997 +/- 1.03e-16],[1.40000781250003 +/- 7.57e-17],True,True,acb,True,[0.588370482529921 +/- 7.95e-17],[0.589546068496769 +/- 4.94e-16],[0.385218544366882 +/- 7.64e-17],[0.386467633303557 +/- 3.44e-16],True,True,53,128,53,True,PASS
