index,R0_desingularized,R1_mean_centered,R2_log_detrended,R3_modular_orthogonal
0,0.48045301391820144,-0.36964908151223136,-0.4393737177505645,-0.5042475373555856
1,0.2675334996307001,-0.5825685957997326,-0.6481519366124455,-0.6455052601166466
2,0.5405096406579765,-0.30959245477245634,-0.3722374997198695,-0.3409568418023527
3,0.7952847165717599,-0.05481737885867288,-0.1151833044692191,-0.13313212766942897
4,0.25728171075669265,-0.5928203846737401,-0.6513241341955331,-0.6339574196390869
5,0.8291218558328594,-0.020980239597573447,-0.07790954167010633,-0.07405408119045075
6,0.9609060278364029,0.11080393240597008,0.05523847874947674,0.0037012358430820124
7,0.46412493882465355,-0.38597715660577925,-0.44033961070195204,-0.41562067500403427
8,0.6730808891109723,-0.1770212063194605,-0.23030754063908676,-0.2033918407456517
9,1.172603059584144,0.3225009641537111,0.2701880985832956,0.2352636616493003
10,0.6312516342868281,-0.21885046114360474,-0.27027461937447783,-0.26142409341754946
11,1.1227608034783008,0.27265870804786796,0.22205208131974075,0.23914660799342025
12,0.6609277915257125,-0.18917430390472034,-0.23902401468633327,-0.24443308805356365
13,0.43380538608845637,-0.41629670934197643,-0.46544174823598244,-0.4572642883176207
14,0.7507078342471896,-0.09939426118324324,-0.14788012354881663,-0.12092609635504012
15,1.3715314576732907,0.5214293622428579,0.47356270104647946,0.4216144526287768
16,0.713422665681867,-0.13667942974856584,-0.18396229255381868,-0.20003113045058435
17,0.6577326379542697,-0.19236945747616307,-0.2391000943767818,-0.1983923259004679
18,0.7654405290178463,-0.08466156641258649,-0.1308683094412929,-0.15101619344125458
19,0.554371991088831,-0.29573010434160185,-0.34143851969759453,-0.32070603803871023
20,0.8787328681983395,0.02863077276790671,-0.01660250151158882,-0.011794714852648729
21,1.2167130189767168,0.366610923546284,0.32183166584506884,0.27910282529340713
22,0.7805311076486603,-0.06957098778177251,-0.11391555472172565,-0.10355924860067854
23,0.9182354396999439,0.06813334426951112,0.024205720577671785,0.04732161503438304
24,0.8256519046150053,-0.02445019081542754,-0.0679772262526348,-0.0721596133886707
25,0.7366663760992729,-0.11343571933115992,-0.15657728671079252,-0.15413078629136087
26,0.7233685818796574,-0.12673351355077545,-0.16950363304146854,-0.1570617137236641
27,1.0964392387467297,0.24633714331629686,0.20392543573160338,0.18172957382781343
28,0.6286371522824131,-0.22146494314801968,-0.26353039075110585,-0.25628921068508126
29,0.7967159818297166,-0.05338611360071621,-0.09511665607744679,-0.06089675650379724
30,1.3512741016449412,0.5011720062145084,0.45976573513985497,0.3873163645663625
31,0.7180857350748209,-0.13201636035561193,-0.1731083392094872,-0.16808193467746071
32,0.4909258807180295,-0.3591762147124033,-0.39996328461786174,-0.34992246373573427
33,0.8057907063266093,-0.044311389103823484,-0.08480238925764949,-0.10930094836469087
34,0.7620780455641604,-0.08802404986627244,-0.12822732138060533,-0.10886626906566178
35,1.2169184899190162,0.3668163944885834,0.3268929676370905,0.32636277570754707
36,1.1653482145444052,0.3152461191139724,0.2755950735042736,0.23022677707263592
37,0.7807319490612902,-0.06937014636914263,-0.10875588638072975,-0.09700788476793477
38,0.7200809035121739,-0.1300211919182589,-0.16914834365604536,-0.12448940817461134
